C 7	0,1,2,0,1,0
C 7	0,1,2,0,1,3
C 7	0,1,2,3,1,3
C 7	0,3,2,3,1,3
C# 7	1,2,3,1,2,1
C# 7	1,2,3,1,2,4
C# 7	1,2,3,4,2,4
C# 7	1,4,3,1,0,1
C# 7	1,4,3,1,0,4
C# 7	1,4,3,4,0,4
C# 7	1,4,3,4,2,4
C 7	3,1,2,0,1,0
C 7	3,1,2,0,1,3
C 7	3,1,2,3,1,0
C 7	3,1,2,3,1,3
C 7	3,3,2,3,1,0
C 7	3,3,2,3,1,3
C# 7	4,2,3,1,2,1
C# 7	4,2,3,1,2,4
C# 7	4,2,3,4,2,1
C# 7	4,2,3,4,2,4
C# 7	4,4,3,1,0,1
C# 7	4,4,3,1,0,4
C# 7	4,4,3,4,0,1
C# 7	4,4,3,4,0,4
C# 7	4,4,3,4,2,1
C# 7	4,4,3,4,2,4
C 7sus	1,1,3,0,1,1
C 7sus	1,1,3,0,1,3
C 7sus	1,1,3,3,1,3
C 7sus	1,3,3,3,1,3
C# 7sus	2,2,4,1,2,2
C# 7sus	2,2,4,1,2,4
C# 7sus	2,2,4,4,2,4
C# 7sus	2,4,4,1,0,2
C# 7sus	2,4,4,1,0,4
C# 7sus	2,4,4,4,0,4
C# 7sus	2,4,4,4,2,4
C 7sus	3,1,3,0,1,1
C 7sus	3,1,3,0,1,3
C 7sus	3,1,3,3,1,1
C 7sus	3,1,3,3,1,3
C 7sus	3,3,3,3,1,1
C 7sus	3,3,3,3,1,3
C# 7sus	4,2,4,1,2,2
C# 7sus	4,2,4,1,2,4
C# 7sus	4,2,4,4,2,2
C# 7sus	4,2,4,4,2,4
C# 7sus	4,4,4,1,0,2
C# 7sus	4,4,4,1,0,4
C# 7sus	4,4,4,4,0,2
C# 7sus	4,4,4,4,0,4
C# 7sus	4,4,4,4,2,2
C# 7sus	4,4,4,4,2,4
C 9	0,3,0,0,1,0
C 9	0,3,0,0,1,3
C 9	0,3,0,0,3,0
C 9	0,3,0,0,3,3
C 9	0,3,2,0,3,0
C 9	0,3,2,0,3,3
C# 9	1,4,1,1,2,1
C# 9	1,4,1,1,2,4
C# 9	1,4,1,1,4,1
C# 9	1,4,1,1,4,4
C# 9	1,4,3,1,4,1
C# 9	1,4,3,1,4,4
C 9	3,3,0,0,1,0
C 9	3,3,0,0,3,0
C 9	3,3,2,0,3,0
C 9	3,3,2,0,3,3
C# 9	4,4,1,1,2,1
C# 9	4,4,1,1,4,1
C# 9	4,4,3,1,4,1
C# 9	4,4,3,1,4,4
C aug	0,3,2,1,1,0
C aug	0,3,2,1,1,4
C aug	4,3,2,1,1,0
C aug	4,3,2,1,1,4
C# dim	0,4,2,0,2,0
C# dim	0,4,2,0,2,3
C# dim	3,4,2,0,2,0
C# dim	3,4,2,0,2,3
C# m	0,4,2,1,2,0
C# m	0,4,2,1,2,4
C m	3,3,1,0,1,3
C m	3,3,1,0,4,3
C# m	4,4,2,1,2,0
C# m	4,4,2,1,2,4
C# m7	0,2,2,1,2,0
C# m7	0,2,2,1,2,4
C# m7	0,2,2,4,2,4
C# m7	0,4,2,1,0,0
C# m7	0,4,2,1,0,4
C# m7	0,4,2,4,0,4
C# m7	0,4,2,4,2,4
C m7	3,1,1,0,1,3
C m7	3,1,1,3,1,3
C m7	3,3,1,3,1,3
C m7	3,3,1,3,4,3
C# m7	4,2,2,1,2,0
C# m7	4,2,2,1,2,4
C# m7	4,2,2,4,2,0
C# m7	4,2,2,4,2,4
C# m7	4,4,2,1,0,0
C# m7	4,4,2,1,0,4
C# m7	4,4,2,4,0,0
C# m7	4,4,2,4,0,4
C# m7	4,4,2,4,2,0
C# m7	4,4,2,4,2,4
C# m7b5	0,2,2,0,2,0
C# m7b5	0,2,2,0,2,3
C# m7b5	0,2,2,4,2,3
C# m7b5	0,4,2,0,0,0
C# m7b5	0,4,2,0,0,3
C# m7b5	0,4,2,4,0,3
C# m7b5	0,4,2,4,2,3
C m7b5	2,1,1,3,1,2
C m7b5	2,3,1,3,1,2
C m7b5	2,3,1,3,4,2
C m7b5	2,3,4,3,4,2
C# m7b5	3,2,2,0,2,0
C# m7b5	3,2,2,0,2,3
C# m7b5	3,2,2,4,2,0
C# m7b5	3,2,2,4,2,3
C# m7b5	3,4,2,0,0,0
C# m7b5	3,4,2,0,0,3
C# m7b5	3,4,2,4,0,0
C# m7b5	3,4,2,4,0,3
C# m7b5	3,4,2,4,2,0
C# m7b5	3,4,2,4,2,3
C maj7	0,2,2,0,1,0
C maj7	0,2,2,0,1,3
C maj7	0,2,2,4,1,3
C maj7	0,3,2,0,0,0
C maj7	0,3,2,0,0,3
C maj7	0,3,2,4,0,3
C maj7	0,3,2,4,1,3
C# maj7	1,3,3,1,2,1
C# maj7	1,3,3,1,2,4
C# maj7	1,4,3,1,1,1
C# maj7	1,4,3,1,1,4
C maj7	3,2,2,0,1,0
C maj7	3,2,2,0,1,3
C maj7	3,2,2,4,1,0
C maj7	3,2,2,4,1,3
C maj7	3,3,2,0,0,0
C maj7	3,3,2,0,0,3
C maj7	3,3,2,4,0,0
C maj7	3,3,2,4,0,3
C maj7	3,3,2,4,1,0
C maj7	3,3,2,4,1,3
C# maj7	4,3,3,1,2,1
C# maj7	4,3,3,1,2,4
C# maj7	4,4,3,1,1,1
C# maj7	4,4,3,1,1,4
C sus	1,3,3,0,1,1
C sus	1,3,3,0,1,3
C# sus	2,4,4,1,2,2
C# sus	2,4,4,1,2,4
C sus	3,3,3,0,1,1
C sus	3,3,3,0,1,3
C# sus	4,4,4,1,2,2
C# sus	4,4,4,1,2,4
D	2,0,0,2,3,2
D	2,0,4,2,3,2
D#	3,1,1,0,4,3
D#	3,1,1,3,4,3
D 7	2,0,0,2,1,2
D 7	2,3,0,2,1,2
D 7	2,3,0,2,3,2
D 7	2,3,4,2,3,2
D# 7	3,1,1,0,2,3
D# 7	3,1,1,3,2,3
D# 7	3,4,1,3,2,3
D# 7	3,4,1,3,4,3
D 7sus	3,0,0,0,1,3
D 7sus	3,0,0,2,1,3
D 7sus	3,3,0,2,1,3
D 7sus	3,3,0,2,3,3
D# 7sus	4,1,1,1,2,4
D# 7sus	4,1,1,3,2,4
D# 7sus	4,4,1,3,2,4
D# 7sus	4,4,1,3,4,4
D 9	0,0,0,2,3,2
D 9	0,0,2,2,3,2
D 9	0,0,4,2,3,0
D 9	0,0,4,2,3,2
D# 9	1,1,1,0,4,1
D# 9	1,1,1,0,4,3
D# 9	1,1,1,3,4,3
D# 9	1,1,3,0,4,1
D# 9	1,1,3,0,4,3
D# 9	1,1,3,3,4,3
